№,Название,тело кейса
1,Газпромнефть,"## С чем пришел клиент
Клиент хотел создать комфортную эффективную рабочую среду для коммерческого персонала, а именно: провести глубокую аналитику, организовать и модерировать стратегические сессии, в рамках которых HR-команда сможет результативно работать над обновлением инструментов и построением целостной экосистемы, объединяющей потребности сотрудников и стратегические цели компании.

Особое внимание требовалось уделить анализу текущего состояния рабочих процессов, определению проблемных зон 30+ внутренних продуктов и разработке решений, которые устранят существующие ограничения и создадут основу для развития коммерческого блока.

Клиенту было важно, чтобы новые решения:

- Повышали операционную эффективность коммерческих команд;
- Улучшали качество работы и вовлеченность сотрудников;
- Полностью соответствовали стратегическим приоритетам компании;
- Обеспечивали плавную интеграцию с существующими бизнес-процессами.

Это требовало глубокого понимания текущих рабочих процессов коммерческих подразделений и долгосрочных целей развития бизнеса.

С учетом масштаба задач мы предложили реализовать двухэтапный проект с вовлечением более 40 участников из 4 ключевых подразделений компании. Такой подход позволил на первом этапе провести всестороннюю диагностику, а на втором — разработать и внедрить комплексные решения.

Вовлечение сотрудников из разных подразделений позволило учесть все аспекты работы коммерческого блока и создать удобное решение для всех.

## Выбор формата работы
Для выполнения задач мы использовали глубокий анализ обратной связи. Поверхностные опросы часто фиксируют лишь следствия, например, что «инструмент неудобный». Нас же интересовали причины: какие конкретно действия занимают лишнее время, где возникают ошибки, какие обходные пути создают сотрудники.

Глубокий анализ, в отличие от стандартных анкетирований, предполагает многоуровневое изучение рабочих практик через сочетание разных исследовательских методик.

Основа анализа — серии интервью с сотрудниками. Эти беседы строятся по специально разработанному сценарию с фокусом на рабочих ситуациях, детальном описании последовательности действий при выполнении типовых задач и эмоциональных реакциях в проблемных моментах. Такой подход позволяет выйти за рамки поверхностных жалоб и понять причины неэффективности.

Ключевые принципы анализа — использование открытых вопросов, фиксация невербальных реакций, перекрестная проверка данных разными методами и обеспечение анонимности при обсуждении чувствительных тем.

Для более глубокого понимания рабочих процессов мы использовали анализ экосистемы вокруг сотрудников. Этот подход помог выявить неочевидные проблемы, которые обычно остаются за рамками стандартных исследований. Мы изучили, как команды фактически взаимодействуют с инструментами и коллегами, какие неформальные решения используют в повседневной работе.

В результате такого исследования компания получила комплексную картину рабочих процессов, понимание причин неэффективности и объективный рейтинг проблем по их реальному влиянию на бизнес-результаты.

ЦИТАТА — уточнить у Макса, как это разметить для переноса? или руками?
Важно было найти баланс между операционными нуждами сотрудников и стратегическими целями бизнеса. Мы сознательно выбрали комплексный подход, чтобы изменения были системными, а не поверхностными.  
Алексей Еремин  
Эксперт по цифровым платформам, архитектор бизнес-экосистем, основатель Rocketmind

## Как проходило исследование
**Этап 1. Сбор обратной связи**  
Мы провели интервью с коммерческим персоналом разных уровней, проанализировали каналы обратной связи от сотрудников, выявили ключевые болевые точки в текущих процессах.

**Этап 2. Анализ бизнес-контекста**  
Затем тщательно проанализировали актуальные бизнес-задачи и долгосрочные планы компании, чтобы наши новые инициативы соответствовали операционным нуждам персонала и стратегическим ориентирам организации.

Мы уделили внимание синхронизации предлагаемых изменений с корпоративной стратегией. Это позволило добиться двойного эффекта — повышения удовлетворенности сотрудников при одновременном укреплении конкурентных позиций компании.

**Этап 3. Описание экосистемы**  
Мы провели комплексный анализ 11 вертикалей экосистемы, тщательно изучили все элементы, в которых они функционируют.

Это дало нам четкое понимание, какие именно аспекты системы требуют модернизации существующих функций, устранения дублирующих операций, введения дополнительных возможностей.

Инсайты, которые мы получили, стали основой для разработки адресных улучшений по устранению проблем и созданию новых рабочих инструментов для персонала.

**Этап 4. Разработка решений**  
На основании анализа мы сформировали пакет системных изменений, которые обеспечивали двусторонний эффект: для коммерческих команд и для продукта.

ЦИТАТА — уточнить у Макса, как это разметить для переноса? или руками?
Ключевым моментом стало глубокое погружение в рабочие процессы коммерческих команд. Мы не ограничились анкетированием, а детально изучили каждый этап работы. Это позволило выявить неочевидные, но критически важные узкие места в существующей системе.  
Алексей Еремин  
Эксперт по цифровым платформам, архитектор бизнес-экосистем, основатель Rocketmind

## Результаты исследования
В результате сотрудничества с Rocketmind коммерческая команда получила не просто набор инструментов, а полноценную систему, которая облегчает ежедневную работу, повышает продуктивность и заметно укрепляет вовлеченность сотрудников.

Мы создали решения, которые позволяют бизнесу управлять сложными процессами в единой логике:

- Карта сканирования экосистемы помогает видеть всю бизнес-среду целиком и понимать взаимосвязи между её элементами.
- Канвас ценностного предложения четко фиксирует, за что клиенты выбирают продукт и как усиливать конкурентные преимущества.
- Карта слаженности команды выявляет качество взаимодействия между отделами и помогает устранять барьеры.
- Карта культуры показывает, какие ценности и нормы реально живут в компании, и как они влияют на результат. За счет этого удалось устранить узкие места в текущих продуктах, повысить их удобство и заложить основу для будущего роста.
- Система сбалансированных показателей дает руководству прозрачный контроль эффективности и возможность быстро корректировать курс.

Ключевая ценность Rocketmind — интеграция всех инструментов в единую управленческую систему, которая помогает компаниям принимать стратегические решения быстрее, точнее и с опорой на данные.

ЦИТАТА — уточнить у Макса, как это разметить для переноса? или руками?
Главный вывод проекта — настоящие изменения начинаются не с технологий, а с глубокого понимания рабочих процессов и потребностей, целей, мотивации и болей сотрудников.  
Алексей Еремин  
Эксперт по цифровым платформам, архитектор бизнес-экосистем, основатель Rocketmind"
2,Росатом,"##С чем пришел клиент и почему понадобился пересмотр продуктового портфеля

Крупная компания развивает новые направления на базе основного продукта. Была поставлена задача обеспечить загрузку новых производственных мощностей с учётом государственных обязательств.
Команда долгое время фокусировалась на развитии продуктовых характеристик. Но такой подход ограничивал возможности и не раскрывал потенциал каждого направления. Это затрудняло поиск новых ниш.

Основной запрос компании заключался в том, чтобы:

- Выйти за рамки привычного мышления, перестать воспринимать направления просто как набор функций;

- Сместить фокус на ценностное предложение — понять, какие реальные потребности клиентов закрывает каждый продукт;

- Научиться мыслить категориями пользы для пользователя, а не только техническими или продуктовыми метриками.

Поэтому перед командой стояли задачи пересмотреть портфель с фокусом на перспективные рынки, сгенерировать гипотезы для тестирования и перевести команду от «продуктового» к клиентоцентричному мышлению.
В проекте приняли участие 50 специалистов из четырёх регионов мира. Работа велась на двух языках.

ЦИТАТА

Нам было критично выйти за рамки привычных решений. Например, не просто производить компоненты для электромобильной отрасли, а думать, как наши технологии решают проблемы логистики и энергоэффективности.
КОММЕНТАРИЙ КЛИЕНТА

##Выбор формата работы

Перед началом работы нужно было выбрать оптимальный подход для решения задач. После анализа возможных вариантов остановились на стратегических сессиях — интенсивных рабочих встречах, где ключевые участники компании совместно прорабатывают вопросы.

Этот формат подошёл, потому что он:

- Экономит время — позволяет за 1–2 дня проработать вопросы, на которые в обычном режиме ушли бы недели;

- Обеспечивает вовлечённость — команда не просто получает готовые решения, а активно участвует в их создании;

- Стимулирует креативность — групповой формат помогает выйти за рамки привычного мышления;

- Даёт измеримый результат — на выходе получаются не абстрактные идеи, а конкретные гипотезы и план действий.

Для повышения эффективности сессий использовались два ключевых инструмента.

Фреймворки — готовые методики, которые задают структуру обсуждения и помогают избежать хаотичных дискуссий, сосредоточившись на главном.

Канвасы — визуальные шаблоны, в которых удобно фиксировать и анализировать информацию. Их преимущества:

- Наглядность — вся информация перед глазами в структурированном виде;

- Системность — ничего не упускается из виду;

- Скорость — вместо многочасовых обсуждений быстрая фиксация идей;

- Совместность — все участники вовлекаются в процесс заполнения;

- Практичность — результат готов к использованию сразу после сессии.

##Стратегическая сессия: от подготовки к результатам

Перед началом стратегической сессии мы провели подготовительную работу. Каждое направление деятельности компании тщательно проанализировали с привлечением ключевых сотрудников. Участники заранее изучили рыночные тренды, ограничения и стратегические ориентиры по своим направлениям. Особое внимание уделили пониманию текущих бизнес-вызовов и стратегических целей компании.

Вместе с руководством компании мы разработали четкий корпоративный образ — своеобразный компас, который помогал оценивать новые идеи на соответствие стратегии компании. Этот этап был критически важен, так как задавал общее направление для всей последующей работы.

Сама стратегическая сессия проходила в два дня. Мы детально разобрали каждое бизнес-направление, рассматривали его через призму рыночных возможностей и потенциальных угроз. В процессе активной работы участники генерировали множество «сырых» гипотез, которые затем отфильтровали через призму корпоративного образа и заранее определенных критериев.

Как это работало на практике:

- Каждая рабочая группа заполняла канвасы в режиме реального времени;
- Заполненные шаблоны сразу визуализировались и обсуждались всеми участниками;
- Канвасы служили «живыми документами», которые постоянно дополнялись и уточнялись;
- В результате канвасы стали готовыми рабочими материалами для реализации планов.

Использование канвасов превратило стратегическую сессию из традиционного мозгового штурма в эффективный рабочий процесс с конкретными измеримыми результатами.

Каждая перспективная идея проходила двойную проверку: сначала через фреймворк, затем через создание чернового варианта бизнес-модели. Такой подход позволил объективно оценить потенциал каждой инициативы и принять взвешенные решения о дальнейшем тестировании.

ЦИТАТА

Раньше мы теряли время на бесконечные совещания. Канвасы дали структуру: визуализировали спорные моменты и ускорили принятие решений.
КОММЕНТАРИЙ КЛИЕНТА

##Результаты: от гипотез к действиям

В результате двухдневной интенсивной работы мы получили 20+ бизнес-инициатив по восьми продуктовым направлениям для дальнейшей проработки. По отобранным гипотезам разработали предварительные бизнес-модели с оценкой потенциала и рисков.

Участники научились оценивать риски, мыслить стратегически, не бояться выдвигать идеи. Сотрудники из разных подразделений смогли выработать общее видение и получили мотивацию для дальнейшей реализации намеченных планов.

ЦИТАТА

Главный итог — мы перестали мыслить категориями «продуктового каталога». Теперь видим цепочку: запрос клиента → наше решение → эффект для бизнеса. Это меняет подход к планированию.
КОММЕНТАРИЙ КЛИЕНТА

##Ценность опыта для других промышленных компаний

Мы на практике проверили способ, который помогает промышленным предприятиям развиваться. Вот в чём ценность подхода:

Рабочий инструмент, а не теория
Проверенная методика, которая помогает находить новые направления бизнеса и грамотно распределять ресурсы. Используем простые и наглядные инструменты, например, канвасы.
Для реального производства
Работа велась с учётом специфики промышленных предприятий — длинные циклы производства, необходимость загрузки мощностей, работа с госзаказом. Все решения привязаны к реальным возможностям предприятия.
Быстрые результаты
За 2−3 дня получаем готовый план действий. Можно сразу начинать тестировать первые гипотезы.
ИТОГ
Был разработан портфель бизнес-инициатив и дорожная карта развития экосистемы компании до 2027 года.

ЦИТАТА

После сессии с RocketMind мы продолжаем использовать фреймворки для оценки новых идей.
КОММЕНТАРИЙ КЛИЕНТА"
3,Энко,"##С чем пришел клиент, и зачем ему нужна экосистемная стратегия

Компания не ограничивалась лишь строительством и продажей недвижимости, параллельно развивая различные сервисы. На определённом этапе зрелости стало ясно, что существующие сервисы требуют комплексного подхода: пришло время перейти от набора разрозненных услуг к взаимосвязанной системе решений, которая максимально удовлетворит потребности жителей.

У девелопера есть мобильное приложение управляющей компании, но оно охватывает лишь этап проживания. Двигаясь в сторону экосистемного подхода, застройщик пришёл к выводу, что нужна единая платформа, своего рода суперапп, который охватит весь клиентский путь. В рамках одного удобного приложения клиент сможет изучить продукт, вести коммуникацию с компанией, избегая множества звонков и переписок в различных чатах.

И для внедрения такого комплексного подхода нужна экосистемная стратегия.

Изначально компания пыталась самостоятельно разработать её, но столкнулась с рядом сложностей. Оказалось, внутри команды нет единого понимания, что такое экосистема и чем она отличается от обычного набора сервисов. Также не хватало аналитических данных. Приняли решение привлечь нас.

Нашей задачей было — создать экосистемную стратегию, которая:

- обеспечит устойчивый рост компании;

- откроет новые источники дохода, помимо строительства;

- повысит лояльность клиентов и привлечёт новых.

Важно отметить, что разработка стратегии всегда предполагает глубокий процесс трансформации бизнеса и, в первую очередь, изменение мышления команды. Поэтому с самого начала сотрудничества мы делали акцент на том, что изменение внутренней культуры компании — сложный, но необходимый этап, который предстоит пройти для успешной реализации экосистемной стратегии.

ЦИТАТА
Преимущество создания стратегии очевидно — вырасти из региональной отраслевой компании в федеральную, занять место лидера отрасли со смежным набором рынков, используя цифровые продукты и решения.

Экосистемная стратегия для нас — это, в первую очередь, изменение мышления команды, а как осязаемый результат — создание платформы продуктов и сервисов, которые будут органично дополнять друг друга.

Дарья Р.
Директор экосистемы сервисов

##Как проходила работа над стратегией

###Сотрудничество с командой

Мы провели несколько воркшопов, чтобы вместе разобраться, как объединить все существующие сервисы и создать из них единую экосистему. На сессиях мы искали точки роста, обсуждали, как лучше связать процессы и повысить удобство для пользователей. Важно было преодолеть сопротивление изменениям внутри компании — постепенно традиционные подходы уступали место новым цифровым инструментам.

###Анализ и структурирование идей

Мы комплексно изучили драйверы, тренды и перспективы российского и мирового рынка, отобрали и детально проанализировали продуктовые портфели и стратегические приоритеты 12 компаний-конкурентов для лучшего понимания основных тенденций отрасли. Чтобы сделать эту работу, мы проанализировали данные из 500+ источников информации.

Вместе с командой застройщика определили целевые группы, чтобы изучить их проблемы, потребности и задачи в рамках анализа аудитории.

Разработали гайды и проинструктировали команду клиента по технике и особенностям глубинных интервью. После чего совместно провели более 30 бесед, из которых сформировали базу аудио- и текстовых артефактов и выявили информативные инсайты для разработки экосистемной стратегии компании.

Итогом комплексной аналитической работы стали структурированные отчёты — основательный информационный базис для дальнейшего стратегического планирования. Ориентируясь на него, команда клиента с нашей поддержкой заполняла канвасы и фреймворки, чтобы структурировать идеи и наметить ключевые направления.

###Документирование и обратная связь

Все рабочие материалы и инструкции по технике глубинных интервью остались у нашего клиента, чтобы команда могла оперировать ими дальше, в том числе самостоятельно проводить исследования ЦА. В процессе работы мы готовили презентации для руководства компании, чтобы на каждом этапе был чёткий фидбэк и понимание, куда движемся.

###ИТОГ

Был разработан портфель бизнес-инициатив и дорожная карта развития экосистемы компании до 2027 года.

ЦИТАТА
При создании стратегии мы с командой Rocketmind руководствовались несколькими ключевыми принципами:

- Поколениецентричность — решения должны учитывать ценности, привычки и ожидания разных поколений. Важно не просто соответствовать их потребностям, но и предвосхищать изменения в образе жизни и предпочтениях.

- Синергия партнёрств — установление и поддержание взаимовыгодных отношений с другими участниками рынка (поставщиками, подрядчиками и т. д.).

- Технологичность — внедрение современных технологий для оптимизации процессов и повышения качества услуг.

Дарья Р.
Директор экосистемы сервисов

##Как мы сформировали портфель бизнес-инициатив для клиента

Об этом этапе расскажем чуть подробнее:

- Провели анализ потребителей и рынка — команда Rocketmind изучила конкурентов, тренды, потребности клиентов.

- Определили направления работы — вместе с командой застройщика мы выделили ключевые сферы экосистемы: образование, транспорт, недвижимость, e-commerce и др.

- Разработали первые гипотезы — составили список задач клиентов и искали такие решения, которые не только их решают, но и приятно удивляют.

ЦИТАТА
Этот этап в работе, на мой взгляд, оказался самым насыщенным и результативным. Сформированный портфель бизнес-инициатив учитывает стратегические приоритеты компании, что позволит нам сосредоточиться на ключевых направлениях, не распыляться и эффективно распределять ресурсы.

Итогом стала действительно проработанная экосистемная стратегия — инструмент, который мы продолжаем использовать. Мы регулярно к нему возвращаемся, дорабатываем, адаптируем под изменения рынка. Это действительно фундамент, который останется с нами надолго.

Дарья Р.
Директор экосистемы сервисов

##Первые результаты внедрения

Хотя полное внедрение стратегии — процесс длительный, и дорожная карта расписана до 2027 года, уже были зафиксированы некоторые изменения:

- Команда получила чёткое понимание экосистемного подхода и стала активно применять его в работе.

- Создан департамент экосистемы сервисов, курирующий клиентский путь на всех этапах.

- Внедрён цифровой инструмент для автоматизации приёмки квартир и передачи ключей дольщикам. Теперь работает онлайн-запись на приёмку квартиры, фотофиксация замечаний на смартфон клиента или приёмщика, отправка документов подрядчику.

- Оптимизация работы. Сотрудники отмечают ускорение процессов и снижение нагрузки, а клиенты — удобство и простоту взаимодействия.

В будущем экосистемный подход позволит компании выйти за рамки строительства недвижимости и поможет создать единую платформу продуктов и услуг. Процесс изменения мышления в команде уже начался. Вышеперечисленные результаты это подтверждают. Мы уверены — трансформация команды будет продолжаться."
4,Газпромнефть (порт.услуг орг развит),"##Задача

К нам обратилась компания с запросом оказать поддержку в создании комплексного портфеля услуг по направлению организационного развития. В рамках проекта мы предоставили аналитические данные и организовали стратегические сессии, которые помогли заказчику разработать необходимый портфель продуктов.

Цель нашей работы — повысить эффективность внутренних процессов и работу ведущих сотрудников. Для этого нужно было структурировать актуальные данные по рыночным и бизнес-трендам в сфере организационного развития, чтобы создать информационный фундамент для поддержки заказчика в проектировании сервисов.

##Решение

Что мы сделали:

- Провели масштабное исследование актуальных трендов и вызовов в области организационного развития в корпорациях России и мира.

- Проанализировали более 90 источников, включая кейсы компаний из топливного сектора, банковского и финансового рынков, ритейла, производства, ИТ и телекоммуникаций.

- Выделили ключевые технологические, социально-экономические и культурные тенденции, а также вызовы, с которыми сталкиваются отделы организационного развития.

- Одновременно мы изучили рынок организационного консалтинга в России, рассмотрев деятельность 8 ведущих игроков и создав «тепловую карту» представленных услуг, что позволило оценить наличие и качество предложений.

- Все данные были систематизированы и использованы для подготовки рекомендаций по внутреннему позиционированию услуг в компании.

##Результат

Клиент получил:

1. Полную картину текущего состояния и трендов организационного развития в России и мире.

2. Детальный анализ лучших практик в разных отраслях с упором на функции организационного развития.

3. Выделенные векторы будущего развития, позволяющие компании оставаться лидером в управленческих трансформациях.

4. Обзор рынка консалтинговых услуг с тепловой картой и рекомендациями по внутреннему позиционированию сервисов.

5. Обширную аналитическую базу для проектирования и внедрения новых инструментов организационного развития.

Эти данные были использованы заказчиком для проведения внутренних стратегических сессий и выработки дальнейших управленческих решений."
5,Ростелеком,"##Задача

К нам обратилась федеральная компания с задачей найти новые идеи и улучшить существующие продукты.

Цель — приоритизировать продуктовые инициативы и сформировать ценностные предложения для клиентов.

##Решение

Мы провели комплексный дизайн-воркшоп, состоящий из нескольких этапов:

- Подготовка участников через онлайн-опрос для формирования базового понимания ситуации и определения ключевых вызовов.

- Обучение методикам проектирования ценностных предложений и генерации продуктовых идей.

- Анализ текущей отраслевой ситуации, включающий изучение проблем, конкурентных вызовов и возможностей.

- Исследование проблем и возможностей существующего продуктового портфеля с точки зрения пользовательского опыта.

- Совместное проектирование ценностных предложений на основании экспертного анализа и внутренних данных заказчика.

- Генерация и приоритизация продуктовых идей для модернизации текущих и создания новых продуктов, сервисов и моделей потребления.

- Презентация и защита и обсуждение разработанных командных идей.

Дополнительно в работе учитывались результаты маркетингового исследования и имеющиеся данные по выявленному спектру проблем.

##Результат

Команда получила:

- Набор идей и ценностных предложений для разработки новых и улучшения существующих продуктов.

- Визуальную модель внешнего контекста и потребительского окружения, которая стала основой для системной продуктовой работы.

- Чётко приоритизированные инициативы, которые позволят более эффективно направить ресурсы на развитие продуктов.

- Инструменты и инсайты для уточнения и адаптации продуктовой стратегии с учётом реальных потребностей и трендов рынка."
6,VK,"##Задача

Крупная цифровая медиа-платформа обратилась с задачей переосмыслить стратегию развития своей экосистемы.

Требовалось определить роли участников экосистемы, разработать сценарии роста, сформулировать ценностные предложения и обеспечить методологическую поддержку в ходе трансформации.

##Решение

В течение пяти месяцев эксперты сопровождали проект, предоставляя консультации и проводя воркшопы с использованием методологии бизнес-дизайна Platform Innovation Kit.

- Мы провели обучение команды заказчика инструментам экосистемного моделирования и платформенного дизайна.

- Организовали несколько стратегических сессий для согласования единой экосистемной стратегии и чёткого понимания ролей участников.

- Проработали гипотезы о ролях, сетевых эффектах и структуре платформенной ценности.

- Создали канвасы и карты развития, отражающие архитектуру экосистемной стратегии платформы.

##Результат

Клиент получил согласованную и методологически обоснованную экосистемную стратегию, которая включает:

- Архитектуру ролей и ключевых каналов взаимодействия внутри платформы.

- Стратегию привлечения и масштабирования участников экосистемы.

- Основные гипотезы и сценарии роста платформы.

- Визуальные модели и карты сервисов, которые служат базой для дальнейшего запуска и развития.

Эта стратегия стала основой для трансформации платформы в полноценный цифровой продукт с экосистемным мышлением и устойчивым конкурентным преимуществом."
7,Сбер (программа STEP),"##Задача

В рамках программы подготовки топ-менеджеров крупного финансового института возникла задача развития у участников платформенного и экосистемного мышления. Это важная основа для успешного стратегического управления, цифровой трансформации и запуска новых платформенных инициатив.

Требовалось интегрировать в образовательный трек прикладной модуль с современными инструментами и методами построения платформ и экосистем.

##Решение

Наша экспертная команда была приглашена провести очный воркшоп длительностью 6 академических часов в кампусе образовательного центра.

В рамках сессии были раскрыты:

- Три уровня экосистемного мышления и их применение в управлении продуктами и сервисами.

- Основы платформенной экономики, принципы построения сетевых эффектов и создание добавленной ценности.

- Методология Platform Innovation Kit (PIK) с демонстрацией практических инструментов и кейсов.

- Этапы поиска, проверки гипотез и запуска платформ.

- Практические навыки построения бизнес-модели платформы и картирования экосистемы.

Этот модуль был интегрирован в образовательный трек по цифровой трансформации для управления инновациями.

##Результат

Участники образовательной программы получили прикладные знания и инструменты для проектирования и развития платформенных бизнес-моделей и экосистем.

Обучение заложило основу для новых платформенных инициатив и повысило уровень стратегического мышления топ-менеджеров, что способствовало более эффективному управлению цифровыми трансформациями и инновациями."
8,Сбер («Передовые инженерные школы»),"##Задача

В рамках федеральной программы возникла потребность в обучении инженерных и управленческих команд навыкам системного мышления и цифрового стратегирования.

Особое внимание требовалось уделить платформенному подходу и созданию масштабируемых бизнес-моделей, адаптированных под характеристики традиционного корпоративного сектора.

##Решение

Наша команда экспертов провела образовательное выступление и двухдневный практический модуль на кампусе корпоративного университета организации.

Основные темы:

- Основы платформенного мышления и экосистемного подхода в бизнесе.

- Применение методологии Platform Innovation Kit для построения масштабируемых платформенных бизнес-моделей.

- Практические кейсы и примеры реализации платформенных стратегий в условиях крупных традиционных корпораций.

##Результат

Участники получили прикладные знания, расширили представление о влиянии платформ на развитие высокотехнологичного бизнеса и освоили инструменты для внедрения платформенного дизайна в своих проектах.

Модуль стал ключевым элементом образовательной программы по цифровой трансформации и платформенному стратегированию."
9,Сбер (DTaaS),"##Задача

Подразделение цифровой трансформации крупной финансовой организации сформировало задачу развития внутренней экспертизы по платформенной экономике и экосистемным моделям.

Необходимы были практические навыки проектирования бизнес-моделей, анализ и формулирование платформенных гипотез, а также разбор реальных кейсов цифровой трансформации.

##Решение

Мы разработали, организовали и провели обучение, которое включало:

- Разработку методических и презентационных материалов по ключевым темам платформенного мышления.

- Проведение практикума по построению платформенных бизнес-моделей и формированию сетевых эффектов.

- Модерацию и разбор тематических кейсов, адаптированных под задачи подразделения.

- Сопровождение и поддержку участников на протяжении всего курса в дистанционном формате с полной синхронизацией.

Этот модуль стал частью внутренней образовательной программы по развитию компетенций цифровой трансформации.

##Результат

Участники освоили структурированное понимание платформенной логики, научились выявлять, оценивать и проектировать платформенные гипотезы и экосистемные решения.

Полученные знания и инструменты позволили команде более эффективно поддерживать цифровую трансформацию бизнесов клиентов."
10,Сколково,"##Задача

В рамках программы подготовки управленческих команд к цифровой трансформации и освоению экосистемного подхода требовалось провести прикладной образовательный модуль.

Цель — познакомить участников со структурированными методами бизнес-моделирования, а также базовыми принципами экосистемного мышления, чтобы они могли системно анализировать и переосмыслять свои бизнес-модели.

##Решение

Мы провели очную обучающую сессию в кампусе бизнес-школы, которая включала:

Экспертное выступление Алексея Ерёмина на тему «Введение в бизнес-моделирование и экосистемное мышление», раскрывающее отличия линейных и платформенных моделей и основы платформенной экономики.

Практический воркшоп с групповыми заданиями, направленный на проработку бизнес-кейсов и формирование прототипов экосистемных моделей с использованием визуальных инструментов методологии Platform Innovation Kit (PIK).

Сессия сочетала теоретическую часть и интенсивную практику, обеспечивая участникам необходимые методологические рамки и компетенции.

##Результат

Модуль Rocketmind стал важной составляющей образовательной программы. Команды вышли с воркшопа с готовыми картами бизнес-моделей, набором гипотез для развития и новым навыком — смотреть на свою организацию через призму экосистемного мышления.

Это дало основу для запуска конкретных проектов цифровой трансформации."
